Block_Index,Block_Len,Next_Jump_Size
1330,3,257
1331,4,268
1332,5,10
1333,10,165
1334,2,1076200
1335,11,12
1336,2,9
1337,5,27067
1338,19,11790351
1339,6,11790364
1340,5,11790333
1341,6,11790346
1342,5,9
1343,13,9177
1344,12,52
1345,3,246
1346,4,1672448
1347,8,790413
1348,3,2868
1349,8,9
1350,34,9
1351,7,2695
1352,2,790408
1353,9,1672414
1354,11,94
1355,2,415
1356,18,96
1357,7,12000
1358,9,9
1359,4,36
1360,5,157
1361,4,1684441
1362,8,790413
1363,3,2868
1364,8,9
1365,34,9
1366,7,2695
1367,2,790408
1368,9,1684407
1369,11,75
1370,2,295
1371,14,104
1372,2,9
1373,7,21331
1374,19,27267
1375,5,1076280
1376,3,153
1377,5,94
1378,6,2996
1379,2,1142487
1380,3,13969086
1381,1,13662542
1382,6,11
1383,8,262099
1384,18,262155
1385,4,13662476
1386,3,4023
1387,4,13
1388,1,56
1389,3,12975940
1390,3,9
1391,10,1197362
1392,3,9
1393,9,10
1394,3,14
1395,2,1197311
1396,3,9
1397,10,12975840
1398,1,9705
1399,5,9699
1400,2,46
1401,2,4048
1402,4,182072
1403,1,1717
1404,3,1278
1405,1,27
1406,17,9
1407,8,69
1408,4,9
1409,1,41
1410,3,695
1411,4,1434
1412,35,19
1413,1,24
1414,5,193633
1415,9,193605
1416,1,1579
1417,4,182150
1418,6,3973
1419,4,25
1420,1,52
1421,1,57
1422,3,4012
1423,3,9
1424,1,13
1425,1,13662689
1426,2,11
1427,1,9
1428,2,21
1429,1,13662644
1430,2,13969129
1431,8,57062
1432,5,57071
1433,4,1142472
1434,5,3246
1435,13,5010329
1436,11,5010353
1437,3,257
1438,4,268
1439,5,10
1440,10,165
1441,2,1076200
1442,11,12
1443,2,9
1444,5,27067
1445,19,11790351
1446,6,11790364
1447,5,11790333
1448,6,11790346
1449,5,9
1450,13,9177
1451,12,52
1452,3,246
1453,4,1672448
1454,8,790413
1455,3,2868
1456,8,9
1457,34,9
1458,7,2695
1459,2,790408
1460,9,1672414
1461,11,94
1462,2,415
1463,18,96
1464,7,12000
1465,9,9
1466,4,36
1467,5,157
1468,4,1684441
1469,8,790413
1470,3,2868
1471,8,9
1472,34,9
1473,7,2695
1474,2,790408
1475,9,1684407
1476,11,75
1477,2,295
1478,14,104
1479,2,9
1480,7,21331
1481,19,27267
1482,5,1076280
1483,3,153
1484,5,94
1485,6,2996
1486,2,1142487
1487,3,13969086
1488,1,13662542
1489,6,11
1490,8,262099
1491,18,262155
1492,4,13662476
1493,3,4023
1494,4,13
1495,1,56
1496,3,12975940
1497,3,9
1498,10,1197362
1499,3,9
1500,9,10
1501,3,14
1502,2,1197311
1503,3,9
1504,10,12975840
1505,1,9705
1506,5,9699
1507,2,46
1508,2,4048
1509,4,182072
1510,1,1717
1511,3,1278
1512,1,27
1513,17,9
1514,8,69
1515,4,9
1516,1,41
1517,3,695
1518,4,1434
1519,35,19
1520,1,24
1521,5,193633
1522,9,193605
1523,1,1579
1524,4,182150
1525,6,3973
1526,4,25
1527,1,52
1528,1,57
1529,3,4012
1530,3,9
1531,1,13
1532,1,13662689
1533,2,11
1534,1,9
1535,2,21
1536,1,13662644
1537,2,13969129
1538,8,57062
1539,5,57071
1540,4,1142472
1541,5,3246
1542,13,5010329
1543,11,5010353
1544,3,257
1545,4,268
1546,5,10
1547,10,165
1548,2,1076200
1549,11,12
1550,2,9
1551,5,27067
1552,19,11790351
1553,6,11790364
1554,5,11790333
1555,6,11790346
1556,5,9
1557,13,9177
1558,12,52
1559,3,246
1560,4,1672448
1561,8,790413
1562,3,2868
1563,8,9
1564,34,9
1565,7,2695
1566,2,790408
1567,9,1672414
1568,11,94
1569,2,415
1570,18,96
1571,7,12000
1572,9,9
1573,4,36
1574,5,157
1575,4,1684441
1576,8,790413
1577,3,2868
1578,8,9
1579,34,9
1580,7,2695
1581,2,790408
1582,9,1684407
1583,11,75
1584,2,295
1585,14,104
1586,2,9
1587,7,21331
1588,19,27267
1589,5,1076280
1590,3,153
1591,5,94
1592,6,2996
1593,2,1142487
1594,3,13969086
1595,1,13662542
1596,6,11
1597,8,262099
1598,18,262155
1599,4,13662476
1600,3,4023
1601,4,13
1602,1,56
1603,3,12975940
1604,3,9
1605,10,1197362
1606,3,9
1607,9,10
1608,3,14
1609,2,1197311
1610,3,9
1611,10,12975840
1612,1,9705
1613,5,9699
1614,2,46
1615,2,4048
1616,4,182072
1617,1,1717
1618,3,1278
1619,1,27
1620,17,9
1621,8,69
1622,4,9
1623,1,41
1624,3,695
1625,4,1434
1626,35,19
1627,1,24
1628,5,193633
1629,9,193605
1630,1,1579
1631,4,182150
1632,6,3973
1633,4,25
1634,1,52
1635,1,57
1636,3,4012
1637,3,9
1638,1,13
1639,1,13662689
1640,2,11
1641,1,9
1642,2,21
1643,1,13662644
1644,2,13969129
1645,8,57062
1646,5,57071
1647,4,1142472
1648,5,3246
1649,13,5010329
1650,11,5010353
1651,3,257
1652,4,268
