Block_Index,Block_Len,Next_Jump_Size
1072,5,193633
1073,9,193605
1074,1,1579
1075,4,182150
1076,6,3973
1077,4,25
1078,1,52
1079,1,57
1080,3,4012
1081,3,9
1082,1,13
1083,1,13662689
1084,2,11
1085,1,9
1086,2,21
1087,1,13662644
1088,2,13969129
1089,8,57062
1090,5,57071
1091,4,1142472
1092,5,3246
1093,13,5010329
1094,11,5010353
1095,3,257
1096,4,268
1097,5,10
1098,10,165
1099,2,1076200
1100,11,12
1101,2,9
1102,5,27067
1103,19,11790351
1104,6,11790364
1105,5,11790333
1106,6,11790346
1107,5,9
1108,13,9177
1109,12,52
1110,3,246
1111,4,1672448
1112,8,790413
1113,3,2868
1114,8,9
1115,34,9
1116,7,2695
1117,2,790408
1118,9,1672414
1119,11,94
1120,2,415
1121,18,96
1122,7,12000
1123,9,9
1124,4,36
1125,5,157
1126,4,1684441
1127,8,790413
1128,3,2868
1129,8,9
1130,34,9
1131,7,2695
1132,2,790408
1133,9,1684407
1134,11,75
1135,2,295
1136,14,104
1137,2,9
1138,7,21331
1139,19,27267
1140,5,1076280
1141,3,153
1142,5,94
1143,6,2996
1144,2,1142487
1145,3,13969086
1146,1,13662542
1147,6,11
1148,8,262099
1149,18,262155
1150,4,13662476
1151,3,4023
1152,4,13
1153,1,56
1154,3,12975940
1155,3,9
1156,10,1197362
1157,3,9
1158,9,10
1159,3,14
1160,2,1197311
1161,3,9
1162,10,12975840
1163,1,9705
1164,5,9699
1165,2,46
1166,2,4048
1167,4,182072
1168,1,1717
1169,3,1278
1170,1,27
1171,17,9
1172,8,69
1173,4,9
1174,1,41
1175,3,695
1176,4,1434
1177,35,19
1178,1,24
1179,5,193633
1180,9,193605
1181,1,1579
1182,4,182150
1183,6,3973
1184,4,25
1185,1,52
1186,1,57
1187,3,4012
1188,3,9
1189,1,13
1190,1,13662689
1191,2,11
1192,1,9
1193,2,21
1194,1,13662644
1195,2,13969129
1196,8,57062
1197,5,57071
1198,4,1142472
1199,5,3246
1200,13,5010329
1201,11,5010353
1202,3,257
1203,4,268
1204,5,10
1205,10,165
1206,2,1076200
1207,11,12
1208,2,9
1209,5,27067
1210,19,11790351
1211,6,11790364
1212,5,11790333
1213,6,11790346
1214,5,9
1215,13,9177
1216,12,52
1217,3,246
1218,4,1672448
1219,8,790413
1220,3,2868
1221,8,9
1222,34,9
1223,7,2695
1224,2,790408
1225,9,1672414
1226,11,94
1227,2,415
1228,18,96
1229,7,12000
1230,9,9
1231,4,36
1232,5,157
1233,4,1684441
1234,8,790413
1235,3,2868
1236,8,9
1237,34,9
1238,7,2695
1239,2,790408
1240,9,1684407
1241,11,75
1242,2,295
1243,14,104
1244,2,9
1245,7,21331
1246,19,27267
1247,5,1076280
1248,3,153
1249,5,94
1250,6,2996
1251,2,1142487
1252,3,13969086
1253,1,13662542
1254,6,11
1255,8,262099
1256,18,262155
1257,4,13662476
1258,3,4023
1259,4,13
1260,1,56
1261,3,12975940
1262,3,9
1263,10,1197362
1264,3,9
1265,9,10
1266,3,14
1267,2,1197311
1268,3,9
1269,10,12975840
1270,1,9705
1271,5,9699
1272,2,46
1273,2,4048
1274,4,182072
1275,1,1717
1276,3,1278
1277,1,27
1278,17,9
1279,8,69
1280,4,9
1281,1,41
1282,3,695
1283,4,1434
1284,35,19
1285,1,24
1286,5,193633
1287,9,193605
1288,1,1579
1289,4,182150
1290,6,3973
1291,4,25
1292,1,52
1293,1,57
1294,3,4012
1295,3,9
1296,1,13
1297,1,13662689
1298,2,11
1299,1,9
1300,2,21
1301,1,13662644
1302,2,13969129
1303,8,57062
1304,5,57071
1305,4,1142472
1306,5,3246
1307,13,5010329
1308,11,5010353
1309,3,257
1310,4,268
1311,5,10
1312,10,165
1313,2,1076200
1314,11,12
1315,2,9
1316,5,27067
1317,19,11790351
1318,6,11790364
1319,5,11790333
1320,6,11790346
1321,5,9
1322,13,9177
1323,12,52
1324,3,246
1325,4,1672448
1326,8,790413
1327,3,2868
1328,8,9
1329,34,9
1330,7,2695
1331,2,790408
1332,9,1672414
1333,11,94
1334,2,415
1335,18,96
1336,7,12000
1337,9,9
1338,4,36
1339,5,157
1340,4,1684441
1341,8,790413
1342,3,2868
1343,8,9
1344,34,9
1345,7,2695
1346,2,790408
1347,9,1684407
1348,11,75
1349,2,295
1350,14,104
1351,2,9
1352,7,21331
1353,19,27267
1354,5,1076280
1355,3,153
1356,5,94
1357,6,2996
1358,2,1142487
1359,3,13969086
1360,1,13662542
1361,6,11
1362,8,262099
1363,18,262155
1364,4,13662476
1365,3,4023
1366,4,13
1367,1,56
1368,3,12975940
1369,3,9
1370,10,1197362
1371,3,9
1372,9,10
1373,3,14
1374,2,1197311
1375,3,9
1376,10,12975840
1377,1,9705
1378,5,9699
1379,2,46
1380,2,4048
1381,4,182072
1382,1,1717
1383,3,1278
1384,1,27
1385,17,9
1386,8,69
1387,4,9
1388,1,41
1389,3,695
1390,4,1434
1391,35,19
1392,1,24
1393,5,193633
1394,9,193605
1395,1,1579
1396,4,182150
1397,6,3973
1398,4,25
1399,1,52
1400,1,57
1401,3,4012
1402,3,9
1403,1,13
1404,1,13662689
1405,2,11
1406,1,9
1407,2,21
1408,1,13662644
1409,2,13969129
1410,8,57062
1411,5,57071
1412,4,1142472
1413,5,3246
1414,13,5010329
1415,11,5010353
1416,3,257
1417,4,268
1418,5,10
1419,10,165
1420,2,1076200
1421,11,12
1422,2,9
1423,5,27067
1424,19,11790351
1425,6,11790364
1426,5,11790333
1427,6,11790346
1428,5,9
1429,13,9177
1430,12,52
1431,3,246
1432,4,1672448
1433,8,790413
1434,3,2868
1435,8,9
1436,34,9
1437,7,2695
1438,2,790408
1439,9,1672414
1440,11,94
1441,2,415
1442,18,96
1443,7,12000
1444,9,9
1445,4,36
1446,5,157
1447,4,1684441
1448,8,790413
1449,3,2868
1450,8,9
1451,34,9
1452,7,2695
1453,2,790408
1454,9,1684407
1455,11,75
1456,2,295
1457,14,104
1458,2,9
1459,7,21331
1460,19,27267
1461,5,1076280
1462,3,153
1463,5,94
1464,6,2996
1465,2,1142487
1466,3,13969086
1467,1,13662542
1468,6,11
1469,8,262099
1470,18,262155
1471,4,13662476
1472,3,4023
1473,4,13
1474,1,56
1475,3,12975940
1476,3,9
1477,10,1197362
1478,3,9
1479,9,10
1480,3,14
1481,2,1197311
1482,3,9
1483,10,12975840
1484,1,9705
1485,5,9699
1486,2,46
1487,2,4048
1488,4,182072
1489,1,1717
1490,3,1278
1491,1,27
1492,17,9
1493,8,69
1494,4,9
1495,1,41
1496,3,695
1497,4,1434
1498,35,19
1499,1,24
1500,5,193633
1501,9,193605
1502,1,1579
1503,4,182150
1504,6,3973
1505,4,25
1506,1,52
1507,1,57
1508,3,4012
1509,3,9
1510,1,13
1511,1,13662689
1512,2,11
1513,1,9
1514,2,21
1515,1,13662644
1516,2,13969129
1517,8,57062
1518,5,57071
1519,4,1142472
1520,5,3246
1521,13,5010329
1522,11,5010353
1523,3,257
1524,4,268
1525,5,10
1526,10,165
1527,2,1076200
1528,11,12
1529,2,9
1530,5,27067
1531,19,11790351
1532,6,11790364
1533,5,11790333
