Block_Index,Block_Len,Next_Jump_Size
1803,9,4881
1804,2,192648
1805,8,790413
1806,3,2868
1807,8,9
1808,34,9
1809,7,2695
1810,2,790408
1811,9,192614
1812,6,79
1813,7,89
1814,12,3145
1815,28,15
1816,2,15
1817,2,15
1818,9,105
1819,12,19
1820,4,50
1821,8,19
1822,4,50
1823,21,49
1824,4,59
1825,4,183
1826,6,177
1827,7,59
1828,2,275
1829,3,242
1830,5,59
1831,15,190
1832,3,207
1833,9,148
1834,5,209
1835,14,247
1836,6,300
1837,23,73
1838,5,66
1839,7,18
1840,14,2595
1841,6,82
1842,15,3145
1843,28,15
1844,2,15
1845,2,15
1846,9,105
1847,12,19
1848,4,50
1849,8,19
1850,4,50
1851,21,49
1852,4,59
1853,4,183
1854,6,177
1855,7,59
1856,2,275
1857,3,242
1858,5,59
1859,15,190
1860,3,207
1861,9,148
1862,5,209
1863,14,247
1864,6,300
1865,23,73
1866,5,66
1867,7,18
1868,14,2595
1869,6,82
1870,15,3145
1871,28,15
1872,2,15
1873,2,15
1874,9,105
1875,12,19
1876,4,50
1877,8,19
1878,4,50
1879,21,49
1880,4,59
1881,4,183
1882,6,177
1883,7,59
1884,2,275
1885,3,242
1886,5,59
1887,15,190
1888,3,207
1889,9,148
1890,5,209
1891,14,247
1892,6,300
1893,23,73
1894,5,66
1895,7,18
1896,14,2595
1897,6,82
1898,5,83
1899,7,3217
1900,28,15
1901,2,15
1902,2,15
1903,10,105
1904,12,19
1905,4,50
1906,8,19
1907,4,50
1908,21,49
1909,4,59
1910,4,183
1911,6,177
1912,7,59
1913,2,275
1914,3,242
1915,5,59
1916,15,190
1917,3,207
1918,9,148
1919,5,209
1920,14,247
1921,5,283
1922,18,73
1923,5,66
1924,2,352
1925,11,402
1926,5,18
1927,14,2667
1928,8,235825
1929,1,216
1930,7,102671
1931,27,9
1932,5,66
1933,3,64
1934,4,1483
1935,19,151
1936,2,17900
1937,15,69
1938,6,17774
1939,7,158
1940,4,29433
1941,21,9
1942,1,12
1943,6,124099
1944,16,18
1945,20,284
1946,5,564
1947,1,12
1948,3,12
1949,1,12
1950,1,463
1951,2,324
1952,2,21
1953,2,14
1954,25,124512
1955,4,12
1956,1,9
1957,3,1147
1958,3,3836
1959,62,12
1960,10,3518
1961,1,11
1962,1,618
1963,3,29519
1964,8,790413
1965,3,2868
1966,8,9
1967,34,9
1968,7,2695
1969,2,790408
1970,9,29485
1971,19,654
1972,8,29239
1973,3,12
1974,2,16999
1975,4,152
1976,1,16837
1977,3,9
1978,2,678
1979,23,783
1980,14,70
1981,17,387
1982,6,345
1983,3,5833008
1984,3,193
1985,2,5833209
1986,3,236
1987,5,206
1988,2,12
1989,9,390
1990,10,398
1991,4,175
1992,8,1032
1993,13,64
1994,4,1483
1995,19,151
1996,2,17900
1997,26,303
1998,4,34311
1999,12,9
2000,14,167
2001,3,87
2002,12,294
2003,32,9
2004,9,34079
2005,1,313
2006,3,35738
2007,14,45
